cleaned_name,adjusted_loc_col
Many people visit Wilmount House every year for its scenic views.,"[(18, 32, 'LOC')]"
The region surrounding Wilmount is known for its natural beauty.,"[(23, 31, 'LOC')]"
The peaceful surroundings of Wills Grove make it a great place for a getaway.,"[(29, 40, 'LOC')]"
The region surrounding Willsbrook House is known for its natural beauty.,"[(23, 39, 'LOC')]"
Hiking enthusiasts often explore the area around Willmount House.,"[(49, 64, 'LOC')]"
Hiking enthusiasts often explore the area around Willmount.,"[(49, 58, 'LOC')]"
Williamstown Lodge has a rich history and is well-known among locals.,"[(0, 18, 'LOC')]"
Hiking enthusiasts often explore the area around Williamstown House.,"[(49, 67, 'LOC')]"
Many people visit Williamstown Harbour every year for its scenic views.,"[(18, 38, 'LOC')]"
Hiking enthusiasts often explore the area around Williamstown.,"[(49, 61, 'LOC')]"
The peaceful surroundings of Willbrook make it a great place for a getaway.,"[(29, 38, 'LOC')]"
Wilkinstown is a popular tourist destination.,"[(0, 11, 'LOC')]"
Hiking enthusiasts often explore the area around Wilford House.,"[(49, 62, 'LOC')]"
Wild Bellows Rock is a popular tourist destination.,"[(0, 17, 'LOC')]"
The region surrounding Wicklow Mountains is known for its natural beauty.,"[(23, 40, 'LOC')]"
Wicklow Head has a rich history and is well-known among locals.,"[(0, 12, 'LOC')]"
The region surrounding Wicklow Gap is known for its natural beauty.,"[(23, 34, 'LOC')]"
Wicklow is a popular tourist destination.,"[(0, 7, 'LOC')]"
Whiting Bay has a rich history and is well-known among locals.,"[(0, 11, 'LOC')]"
Hiking enthusiasts often explore the area around Whitfield Court.,"[(49, 64, 'LOC')]"
The region surrounding Whitewood House is known for its natural beauty.,"[(23, 38, 'LOC')]"
Whitewell House has a rich history and is well-known among locals.,"[(0, 15, 'LOC')]"
Many people visit Whites Town every year for its scenic views.,"[(18, 29, 'LOC')]"
Hiking enthusiasts often explore the area around White River.,"[(49, 60, 'LOC')]"
Many people visit White Point every year for its scenic views.,"[(18, 29, 'LOC')]"
White Mountain is a popular tourist destination.,"[(0, 14, 'LOC')]"
Hiking enthusiasts often explore the area around White Lough.,"[(49, 60, 'LOC')]"
Whitehill House is a popular tourist destination.,"[(0, 15, 'LOC')]"
Many people visit Whitehall every year for its scenic views.,"[(18, 27, 'LOC')]"
Hiking enthusiasts often explore the area around Paulstown.,"[(49, 58, 'LOC')]"
Whitegate has a rich history and is well-known among locals.,"[(0, 9, 'LOC')]"
The peaceful surroundings of Whitechurch make it a great place for a getaway.,"[(29, 40, 'LOC')]"
The region surrounding White Castle is known for its natural beauty.,"[(23, 35, 'LOC')]"
The region surrounding White Ball Head is known for its natural beauty.,"[(23, 38, 'LOC')]"
Whiddy Island is a popular tourist destination.,"[(0, 13, 'LOC')]"
The peaceful surroundings of Wheelam Cross Roads make it a great place for a getaway.,"[(29, 48, 'LOC')]"
Whale Head has a rich history and is well-known among locals.,"[(0, 10, 'LOC')]"
The peaceful surroundings of Wexford Harbour make it a great place for a getaway.,"[(29, 44, 'LOC')]"
Loch Garman is a popular tourist destination.,"[(0, 11, 'LOC')]"
Hiking enthusiasts often explore the area around West Village.,"[(49, 61, 'LOC')]"
West Town has a rich history and is well-known among locals.,"[(0, 9, 'LOC')]"
West Sister is a popular tourist destination.,"[(0, 11, 'LOC')]"
Many people visit Westport House every year for its scenic views.,"[(18, 32, 'LOC')]"
Westport Bay is a popular tourist destination.,"[(0, 12, 'LOC')]"
The region surrounding Westport is known for its natural beauty.,"[(23, 31, 'LOC')]"
The peaceful surroundings of Westmoreland Fort make it a great place for a getaway.,"[(29, 46, 'LOC')]"
An Iarmhí is a popular tourist destination.,"[(0, 9, 'LOC')]"
Many people visit Westland Row Station every year for its scenic views.,"[(18, 38, 'LOC')]"
Hiking enthusiasts often explore the area around Westland House.,"[(49, 63, 'LOC')]"
Westfield has a rich history and is well-known among locals.,"[(0, 9, 'LOC')]"
Hiking enthusiasts often explore the area around West Cove.,"[(49, 58, 'LOC')]"
Many people visit West Court every year for its scenic views.,"[(18, 28, 'LOC')]"
Wells House has a rich history and is well-known among locals.,"[(0, 11, 'LOC')]"
Many people visit Wellmount House every year for its scenic views.,"[(18, 33, 'LOC')]"
Wellingtonbridge has a rich history and is well-known among locals.,"[(0, 16, 'LOC')]"
Many people visit Welchtown every year for its scenic views.,"[(18, 27, 'LOC')]"
Many people visit Webbsborough every year for its scenic views.,"[(18, 30, 'LOC')]"
Weatherstown has a rich history and is well-known among locals.,"[(0, 12, 'LOC')]"
Many people visit Waterville every year for its scenic views.,"[(18, 28, 'LOC')]"
Waterstown House is a popular tourist destination.,"[(0, 16, 'LOC')]"
The region surrounding Waterloo is known for its natural beauty.,"[(23, 31, 'LOC')]"
The region surrounding Watergrasshill is known for its natural beauty.,"[(23, 37, 'LOC')]"
Hiking enthusiasts often explore the area around Waterford North Station.,"[(49, 72, 'LOC')]"
The region surrounding Waterford Manor Station is known for its natural beauty.,"[(23, 46, 'LOC')]"
Hiking enthusiasts often explore the area around Waterford Harbour.,"[(49, 66, 'LOC')]"
The peaceful surroundings of Waterford make it a great place for a getaway.,"[(29, 38, 'LOC')]"
Waterfall has a rich history and is well-known among locals.,"[(0, 9, 'LOC')]"
Many people visit Waterdale House every year for its scenic views.,"[(18, 33, 'LOC')]"
Hiking enthusiasts often explore the area around Watch House Village.,"[(49, 68, 'LOC')]"
Hiking enthusiasts often explore the area around Warrenstown.,"[(49, 60, 'LOC')]"
Many people visit Warrens Grove every year for its scenic views.,"[(18, 31, 'LOC')]"
The peaceful surroundings of Warrens Court make it a great place for a getaway.,"[(29, 42, 'LOC')]"
The peaceful surroundings of War Hill make it a great place for a getaway.,"[(29, 37, 'LOC')]"
Hill of Ward has a rich history and is well-known among locals.,"[(0, 12, 'LOC')]"
The region surrounding Ward is known for its natural beauty.,"[(23, 27, 'LOC')]"
The region surrounding Walterstown is known for its natural beauty.,"[(23, 34, 'LOC')]"
The region surrounding Walshtown is known for its natural beauty.,"[(23, 32, 'LOC')]"
Hiking enthusiasts often explore the area around Walshpool Lough.,"[(49, 64, 'LOC')]"
Many people visit Virginia Road every year for its scenic views.,"[(18, 31, 'LOC')]"
Virginia is a popular tourist destination.,"[(0, 8, 'LOC')]"
Violetstown House has a rich history and is well-known among locals.,"[(0, 17, 'LOC')]"
Hiking enthusiasts often explore the area around Violet Hill.,"[(49, 60, 'LOC')]"
Vinegar Hill is a popular tourist destination.,"[(0, 12, 'LOC')]"
Villierstown is a popular tourist destination.,"[(0, 12, 'LOC')]"
The region surrounding Vicarstown Cross Roads is known for its natural beauty.,"[(23, 45, 'LOC')]"
The peaceful surroundings of Vicarstown make it a great place for a getaway.,"[(29, 39, 'LOC')]"
The peaceful surroundings of Ventry Harbour make it a great place for a getaway.,"[(29, 43, 'LOC')]"
Hiking enthusiasts often explore the area around Ventry.,"[(49, 55, 'LOC')]"
The peaceful surroundings of Velvetstown House make it a great place for a getaway.,"[(29, 46, 'LOC')]"
The peaceful surroundings of Lough Vearty make it a great place for a getaway.,"[(29, 41, 'LOC')]"
Hiking enthusiasts often explore the area around Lough Beagh.,"[(49, 60, 'LOC')]"
The peaceful surroundings of Vartry River make it a great place for a getaway.,"[(29, 41, 'LOC')]"
Hiking enthusiasts often explore the area around Valencia River.,"[(49, 63, 'LOC')]"
The region surrounding Valentia Island is known for its natural beauty.,"[(23, 38, 'LOC')]"
Hiking enthusiasts often explore the area around Valentia Harbour Station.,"[(49, 73, 'LOC')]"
Hiking enthusiasts often explore the area around Valentia Harbour.,"[(49, 65, 'LOC')]"
The region surrounding Urris Hills is known for its natural beauty.,"[(23, 34, 'LOC')]"
The region surrounding Urrin River is known for its natural beauty.,"[(23, 34, 'LOC')]"
Urlingford has a rich history and is well-known among locals.,"[(0, 10, 'LOC')]"
The peaceful surroundings of Urlaur Lough make it a great place for a getaway.,"[(29, 41, 'LOC')]"
The peaceful surroundings of Uregare House make it a great place for a getaway.,"[(29, 42, 'LOC')]"
Urbalreagh is a popular tourist destination.,"[(0, 10, 'LOC')]"
Many people visit Upton House every year for its scenic views.,"[(18, 29, 'LOC')]"
Upton is a popular tourist destination.,"[(0, 5, 'LOC')]"
Upper Court is a popular tourist destination.,"[(0, 11, 'LOC')]"
The peaceful surroundings of Upperchurch make it a great place for a getaway.,"[(29, 40, 'LOC')]"
Many people visit Unshin River every year for its scenic views.,"[(18, 30, 'LOC')]"
Lough Unshin has a rich history and is well-known among locals.,"[(0, 12, 'LOC')]"
Many people visit Unionhall every year for its scenic views.,"[(18, 27, 'LOC')]"
The peaceful surroundings of Umrycam make it a great place for a getaway.,"[(29, 36, 'LOC')]"
The peaceful surroundings of Ummeryroe make it a great place for a getaway.,"[(29, 38, 'LOC')]"
Hiking enthusiasts often explore the area around Umma House.,"[(49, 59, 'LOC')]"
The region surrounding Umfin Island is known for its natural beauty.,"[(23, 35, 'LOC')]"
The region surrounding Ullard is known for its natural beauty.,"[(23, 29, 'LOC')]"
The region surrounding Lough Ugga Beg is known for its natural beauty.,"[(23, 37, 'LOC')]"
Tyrrelstown House is a popular tourist destination.,"[(0, 17, 'LOC')]"
The region surrounding Tyrrellspass is known for its natural beauty.,"[(23, 35, 'LOC')]"
Tyredagh Castle has a rich history and is well-known among locals.,"[(0, 15, 'LOC')]"
Hiking enthusiasts often explore the area around Tyrcallen.,"[(49, 58, 'LOC')]"
The peaceful surroundings of Tynagh make it a great place for a getaway.,"[(29, 35, 'LOC')]"
Hiking enthusiasts often explore the area around Tyholland Bridge.,"[(49, 65, 'LOC')]"
Two Rock Mountain is a popular tourist destination.,"[(0, 17, 'LOC')]"
Twomileditch has a rich history and is well-known among locals.,"[(0, 12, 'LOC')]"
Twomileborris is a popular tourist destination.,"[(0, 13, 'LOC')]"
The region surrounding The Twelve Pins is known for its natural beauty.,"[(23, 38, 'LOC')]"
The peaceful surroundings of Tuskar Rock make it a great place for a getaway.,"[(29, 40, 'LOC')]"
Turvey House is a popular tourist destination.,"[(0, 12, 'LOC')]"
Turners Rock is a popular tourist destination.,"[(0, 12, 'LOC')]"
The peaceful surroundings of Turloughmore make it a great place for a getaway.,"[(29, 41, 'LOC')]"
Turlough has a rich history and is well-known among locals.,"[(0, 8, 'LOC')]"
Turkstown has a rich history and is well-known among locals.,"[(0, 9, 'LOC')]"
The region surrounding Turbotston is known for its natural beauty.,"[(23, 33, 'LOC')]"
The region surrounding Turbot Island is known for its natural beauty.,"[(23, 36, 'LOC')]"
Many people visit Tulsk every year for its scenic views.,"[(18, 23, 'LOC')]"
Tullyvin House has a rich history and is well-known among locals.,"[(0, 14, 'LOC')]"
Hiking enthusiasts often explore the area around Tullyvin.,"[(49, 57, 'LOC')]"
Many people visit Tullynascreen every year for its scenic views.,"[(18, 31, 'LOC')]"
The peaceful surroundings of Tullynahinnera make it a great place for a getaway.,"[(29, 43, 'LOC')]"
The region surrounding Tullymurray is known for its natural beauty.,"[(23, 34, 'LOC')]"
The region surrounding Tullymore is known for its natural beauty.,"[(23, 32, 'LOC')]"
Tully Lough has a rich history and is well-known among locals.,"[(0, 11, 'LOC')]"
The peaceful surroundings of Tullylease make it a great place for a getaway.,"[(29, 39, 'LOC')]"
The peaceful surroundings of Tullyleague make it a great place for a getaway.,"[(29, 40, 'LOC')]"
The region surrounding Tullyglass House is known for its natural beauty.,"[(23, 39, 'LOC')]"
The peaceful surroundings of Tullycreen Upper make it a great place for a getaway.,"[(29, 45, 'LOC')]"
The peaceful surroundings of Tullycreen Lower make it a great place for a getaway.,"[(29, 45, 'LOC')]"
Tullycanna is a popular tourist destination.,"[(0, 10, 'LOC')]"
Many people visit Tullybrook every year for its scenic views.,"[(18, 28, 'LOC')]"
Tullyard is a popular tourist destination.,"[(0, 8, 'LOC')]"
Tullyallen is a popular tourist destination.,"[(0, 10, 'LOC')]"
Many people visit Tully every year for its scenic views.,"[(18, 23, 'LOC')]"
Many people visit Tullow every year for its scenic views.,"[(18, 24, 'LOC')]"
The region surrounding Tullira Castle is known for its natural beauty.,"[(23, 37, 'LOC')]"
The region surrounding Tullig Point is known for its natural beauty.,"[(23, 35, 'LOC')]"
Tullig has a rich history and is well-known among locals.,"[(0, 6, 'LOC')]"
Tullaroan is a popular tourist destination.,"[(0, 9, 'LOC')]"
Tullamore River is a popular tourist destination.,"[(0, 15, 'LOC')]"
Many people visit Tullamore every year for its scenic views.,"[(18, 27, 'LOC')]"
Tullaher Lough has a rich history and is well-known among locals.,"[(0, 14, 'LOC')]"
Hiking enthusiasts often explore the area around Tullagh Point.,"[(49, 62, 'LOC')]"
Many people visit Tullaghought every year for its scenic views.,"[(18, 30, 'LOC')]"
The region surrounding Tullagher is known for its natural beauty.,"[(23, 32, 'LOC')]"
Tullagh Bay is a popular tourist destination.,"[(0, 11, 'LOC')]"
Many people visit Tullaghanoge every year for its scenic views.,"[(18, 30, 'LOC')]"
The peaceful surroundings of Tullaghan Bay make it a great place for a getaway.,"[(29, 42, 'LOC')]"
Many people visit Tullaghan every year for its scenic views.,"[(18, 27, 'LOC')]"
The region surrounding Tulla is known for its natural beauty.,"[(23, 28, 'LOC')]"
Tudenham Park is a popular tourist destination.,"[(0, 13, 'LOC')]"
The peaceful surroundings of Tubber make it a great place for a getaway.,"[(29, 35, 'LOC')]"
Tuam is a popular tourist destination.,"[(0, 4, 'LOC')]"
The peaceful surroundings of Truskmore make it a great place for a getaway.,"[(29, 38, 'LOC')]"
The region surrounding Trusk Lough is known for its natural beauty.,"[(23, 34, 'LOC')]"
The peaceful surroundings of Trusklieve make it a great place for a getaway.,"[(29, 39, 'LOC')]"
Trubley Castle has a rich history and is well-known among locals.,"[(0, 14, 'LOC')]"
Trough is a popular tourist destination.,"[(0, 6, 'LOC')]"
The region surrounding Triogue River is known for its natural beauty.,"[(23, 36, 'LOC')]"
Hiking enthusiasts often explore the area around Trimoge River.,"[(49, 62, 'LOC')]"
Many people visit Trim every year for its scenic views.,"[(18, 22, 'LOC')]"
Hiking enthusiasts often explore the area around The Triangle.,"[(49, 61, 'LOC')]"
Tremone Bay has a rich history and is well-known among locals.,"[(0, 11, 'LOC')]"
Tremblestown River is a popular tourist destination.,"[(0, 18, 'LOC')]"
Treantagh is a popular tourist destination.,"[(0, 9, 'LOC')]"
Hiking enthusiasts often explore the area around Trawmore Bay.,"[(49, 61, 'LOC')]"
Hiking enthusiasts often explore the area around Trawenagh Bay.,"[(49, 62, 'LOC')]"
The region surrounding Trawbreaga Bay is known for its natural beauty.,"[(23, 37, 'LOC')]"
Traverston House has a rich history and is well-known among locals.,"[(0, 16, 'LOC')]"
Tranarossan Bay has a rich history and is well-known among locals.,"[(0, 15, 'LOC')]"
Many people visit Tranagh every year for its scenic views.,"[(18, 25, 'LOC')]"
Tramore Bay has a rich history and is well-known among locals.,"[(0, 11, 'LOC')]"
Hiking enthusiasts often explore the area around Trá Mhór.,"[(49, 57, 'LOC')]"
Many people visit Tralong Bay every year for its scenic views.,"[(18, 29, 'LOC')]"
The peaceful surroundings of Tralee Bay make it a great place for a getaway.,"[(29, 39, 'LOC')]"
Many people visit Tralee every year for its scenic views.,"[(18, 24, 'LOC')]"
The peaceful surroundings of Tracton make it a great place for a getaway.,"[(29, 36, 'LOC')]"
Tracarta has a rich history and is well-known among locals.,"[(0, 8, 'LOC')]"
Trabolgan House has a rich history and is well-known among locals.,"[(0, 15, 'LOC')]"
The peaceful surroundings of Townley Hall make it a great place for a getaway.,"[(29, 41, 'LOC')]"
Hiking enthusiasts often explore the area around Towerhill House.,"[(49, 64, 'LOC')]"
Many people visit Tower every year for its scenic views.,"[(18, 23, 'LOC')]"
Many people visit Tourin every year for its scenic views.,"[(18, 24, 'LOC')]"
Hiking enthusiasts often explore the area around Tourig River.,"[(49, 61, 'LOC')]"
Hiking enthusiasts often explore the area around Tory Sound.,"[(49, 59, 'LOC')]"
The peaceful surroundings of Tory Island make it a great place for a getaway.,"[(29, 40, 'LOC')]"
The Tor Rocks has a rich history and is well-known among locals.,"[(0, 13, 'LOC')]"
Torneady Point has a rich history and is well-known among locals.,"[(0, 14, 'LOC')]"
Many people visit Tormore Island every year for its scenic views.,"[(18, 32, 'LOC')]"
Torc Mountain is a popular tourist destination.,"[(0, 13, 'LOC')]"
Hiking enthusiasts often explore the area around Torc Cascade.,"[(49, 61, 'LOC')]"
Toormore Bay has a rich history and is well-known among locals.,"[(0, 12, 'LOC')]"
Toormore is a popular tourist destination.,"[(0, 8, 'LOC')]"
Toormakeady Lodge has a rich history and is well-known among locals.,"[(0, 17, 'LOC')]"
The peaceful surroundings of Toormakeady make it a great place for a getaway.,"[(29, 40, 'LOC')]"
The peaceful surroundings of Tooreeny make it a great place for a getaway.,"[(29, 37, 'LOC')]"
The peaceful surroundings of Tooreens make it a great place for a getaway.,"[(29, 37, 'LOC')]"
The peaceful surroundings of Tooreengarriv make it a great place for a getaway.,"[(29, 42, 'LOC')]"
Tooreendonnell is a popular tourist destination.,"[(0, 14, 'LOC')]"
The region surrounding Tooreencahill is known for its natural beauty.,"[(23, 36, 'LOC')]"
The peaceful surroundings of Tooreenbrien Bridge make it a great place for a getaway.,"[(29, 48, 'LOC')]"
The peaceful surroundings of Tooreen make it a great place for a getaway.,"[(29, 36, 'LOC')]"
Hiking enthusiasts often explore the area around Tooravoola.,"[(49, 59, 'LOC')]"
The region surrounding Tooraneena is known for its natural beauty.,"[(23, 33, 'LOC')]"
The peaceful surroundings of Toor make it a great place for a getaway.,"[(29, 33, 'LOC')]"
Many people visit Toon River every year for its scenic views.,"[(18, 28, 'LOC')]"
Toonagh House has a rich history and is well-known among locals.,"[(0, 13, 'LOC')]"
Toomyvara has a rich history and is well-known among locals.,"[(0, 9, 'LOC')]"
The region surrounding Toomona House is known for its natural beauty.,"[(23, 36, 'LOC')]"
The region surrounding Toomard is known for its natural beauty.,"[(23, 30, 'LOC')]"
Hiking enthusiasts often explore the area around Tooban Junction.,"[(49, 64, 'LOC')]"
Many people visit Tonlegee House every year for its scenic views.,"[(18, 32, 'LOC')]"
The peaceful surroundings of Tonduff make it a great place for a getaway.,"[(29, 36, 'LOC')]"
Many people visit Tomies Mountain every year for its scenic views.,"[(18, 33, 'LOC')]"
Tomhaggard has a rich history and is well-known among locals.,"[(0, 10, 'LOC')]"
Many people visit Tuamgraney every year for its scenic views.,"[(18, 28, 'LOC')]"
Hiking enthusiasts often explore the area around Tombrack.,"[(49, 57, 'LOC')]"
The peaceful surroundings of Tomacurry make it a great place for a getaway.,"[(29, 38, 'LOC')]"
Many people visit Tolka River every year for its scenic views.,"[(18, 29, 'LOC')]"
Toghermore has a rich history and is well-known among locals.,"[(0, 10, 'LOC')]"
The peaceful surroundings of The Togher make it a great place for a getaway.,"[(29, 39, 'LOC')]"
Hiking enthusiasts often explore the area around Togher.,"[(49, 55, 'LOC')]"
Many people visit Roundwood every year for its scenic views.,"[(18, 27, 'LOC')]"
Many people visit Toem every year for its scenic views.,"[(18, 22, 'LOC')]"
The region surrounding Toe Head Bay is known for its natural beauty.,"[(23, 35, 'LOC')]"
Toe Head has a rich history and is well-known among locals.,"[(0, 8, 'LOC')]"
Hiking enthusiasts often explore the area around Tobertynan House.,"[(49, 65, 'LOC')]"
The region surrounding Toberscanavan is known for its natural beauty.,"[(23, 36, 'LOC')]"
The region surrounding Toberdan is known for its natural beauty.,"[(23, 31, 'LOC')]"
Hiking enthusiasts often explore the area around Tobercurry.,"[(49, 59, 'LOC')]"
Many people visit Tober every year for its scenic views.,"[(18, 23, 'LOC')]"
The peaceful surroundings of Tivoli House make it a great place for a getaway.,"[(29, 41, 'LOC')]"
Tirraboy is a popular tourist destination.,"[(0, 8, 'LOC')]"
Tirneevin has a rich history and is well-known among locals.,"[(0, 9, 'LOC')]"
The peaceful surroundings of Tiragarvan make it a great place for a getaway.,"[(29, 39, 'LOC')]"
South Tipperary has a rich history and is well-known among locals.,"[(0, 15, 'LOC')]"
The peaceful surroundings of North Tipperary make it a great place for a getaway.,"[(29, 44, 'LOC')]"
The region surrounding County Tipperary is known for its natural beauty.,"[(23, 39, 'LOC')]"
The region surrounding Tipperary is known for its natural beauty.,"[(23, 32, 'LOC')]"
Hiking enthusiasts often explore the area around Tintrim House.,"[(49, 62, 'LOC')]"
Many people visit Tintern Abbey every year for its scenic views.,"[(18, 31, 'LOC')]"
Tinny Park has a rich history and is well-known among locals.,"[(0, 10, 'LOC')]"
Tinnaslatty House is a popular tourist destination.,"[(0, 17, 'LOC')]"
Hiking enthusiasts often explore the area around Timnapark House.,"[(49, 64, 'LOC')]"
The region surrounding Tinnahinch is known for its natural beauty.,"[(23, 33, 'LOC')]"
Many people visit Tinnaglogh every year for its scenic views.,"[(18, 28, 'LOC')]"
Many people visit Tinkerslane every year for its scenic views.,"[(18, 29, 'LOC')]"
The region surrounding Tincoora is known for its natural beauty.,"[(23, 31, 'LOC')]"
Many people visit Tinarana House every year for its scenic views.,"[(18, 32, 'LOC')]"
The peaceful surroundings of Tinalira make it a great place for a getaway.,"[(29, 37, 'LOC')]"
Tinahely is a popular tourist destination.,"[(0, 8, 'LOC')]"
Timoney Park has a rich history and is well-known among locals.,"[(0, 12, 'LOC')]"
Timolin has a rich history and is well-known among locals.,"[(0, 7, 'LOC')]"
The region surrounding Timoleague is known for its natural beauty.,"[(23, 33, 'LOC')]"
Hiking enthusiasts often explore the area around Timahoe.,"[(49, 56, 'LOC')]"
Many people visit Tiltinbane every year for its scenic views.,"[(18, 28, 'LOC')]"
The peaceful surroundings of Tievemore House make it a great place for a getaway.,"[(29, 44, 'LOC')]"
Hiking enthusiasts often explore the area around Tievemore.,"[(49, 58, 'LOC')]"
The region surrounding Tiaquin is known for its natural beauty.,"[(23, 30, 'LOC')]"
Many people visit Thurles every year for its scenic views.,"[(18, 25, 'LOC')]"
The region surrounding The Three Sisters is known for its natural beauty.,"[(23, 40, 'LOC')]"
Hiking enthusiasts often explore the area around The Pigeons.,"[(49, 60, 'LOC')]"
Threecastles House is a popular tourist destination.,"[(0, 18, 'LOC')]"
Many people visit Three Castle Head every year for its scenic views.,"[(18, 35, 'LOC')]"
The peaceful surroundings of Thomastown Park make it a great place for a getaway.,"[(29, 44, 'LOC')]"
Many people visit Thomaston Park every year for its scenic views.,"[(18, 32, 'LOC')]"
The region surrounding Thomastown Castle is known for its natural beauty.,"[(23, 40, 'LOC')]"
Many people visit Thomastown every year for its scenic views.,"[(18, 28, 'LOC')]"
Thomas Street is a popular tourist destination.,"[(0, 13, 'LOC')]"
Many people visit Tervoe House every year for its scenic views.,"[(18, 30, 'LOC')]"
Terryglass is a popular tourist destination.,"[(0, 10, 'LOC')]"
Termon River is a popular tourist destination.,"[(0, 12, 'LOC')]"
Termon Hill has a rich history and is well-known among locals.,"[(0, 11, 'LOC')]"
The region surrounding Termonfeckin is known for its natural beauty.,"[(23, 35, 'LOC')]"
Many people visit Termon Cottage every year for its scenic views.,"[(18, 32, 'LOC')]"
Termoncarragh has a rich history and is well-known among locals.,"[(0, 13, 'LOC')]"
The region surrounding Termonbarry is known for its natural beauty.,"[(23, 34, 'LOC')]"
Terenure has a rich history and is well-known among locals.,"[(0, 8, 'LOC')]"
Hiking enthusiasts often explore the area around Templetuohy.,"[(49, 60, 'LOC')]"
Templemore is a popular tourist destination.,"[(0, 10, 'LOC')]"
The peaceful surroundings of Templehouse Lake make it a great place for a getaway.,"[(29, 45, 'LOC')]"
The region surrounding Temple House is known for its natural beauty.,"[(23, 35, 'LOC')]"
The region surrounding Templebreedy is known for its natural beauty.,"[(23, 35, 'LOC')]"
Templeboy is a popular tourist destination.,"[(0, 9, 'LOC')]"
The region surrounding Templebodan is known for its natural beauty.,"[(23, 34, 'LOC')]"
Temple is a popular tourist destination.,"[(0, 6, 'LOC')]"
The region surrounding Temora House is known for its natural beauty.,"[(23, 35, 'LOC')]"
Hiking enthusiasts often explore the area around Teltown.,"[(49, 56, 'LOC')]"
Teeromoyle is a popular tourist destination.,"[(0, 10, 'LOC')]"
